date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2022-03-11,BUY,SCA-B.ST,SCA,10577,153.83,1627093.0,2441,dip to support,932284,9760825
2022-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,957284,9923325
2022-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,982284,10738846
2022-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,1007284,10698945
2022-06-14,SELL,ABB.ST,ABB,5614,267.69,1502839.0,2254,"trailing stop (entry 274.29, P/L -2.4%)",2507869,10086055
2022-06-14,SELL,SCA-B.ST,SCA,10577,148.03,1565735.0,2349,"trailing stop (entry 153.83, P/L -3.8%)",4071255,10083706
2022-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,4096255,10333592
2022-07-01,BUY,TEL2-B.ST,Tele2,18581,92.69,1722215.0,2583,dip to support,2371457,10331008
2022-07-29,BUY,TELIA.ST,Telia,57853,28.96,1675411.0,2513,dip to support,693533,10050123
2022-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,718533,10122752
2022-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,743533,9795337
2022-09-01,SELL,SAAB-B.ST,SAAB,25797,83.67,2158330.0,3237,"trailing stop (entry 58.46, P/L +43.1%)",2898625,9792100
2022-09-08,SELL,TEL2-B.ST,Tele2,18581,82.52,1533359.0,2300,"support broke (entry 92.69, P/L -11.0%)",4429684,9543190
2022-09-09,BUY,SAAB-B.ST,SAAB,18332,86.9,1592979.0,2389,dip to support,2834316,9555774
2022-09-20,SELL,TELIA.ST,Telia,57853,26.37,1525621.0,2288,"support broke (entry 28.96, P/L -8.9%)",4357648,9440063
2022-10-03,SIP,,monthly deposit,,,25000.0,0,contribution,4382648,9441540
2022-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,4407648,9998849
2022-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,4432648,10231766
2023-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,4457648,10384962
2023-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,4482648,10364952
2023-02-03,BUY,ATCO-A.ST,Atlas Copco,14234,122.25,1740138.0,2610,dip to support,2739900,10438649
2023-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,2764900,11124970
2023-03-24,BUY,SWED-A.ST,Swedbank,14287,127.65,1823697.0,2736,dip to support,938467,10940085
2023-04-03,SIP,,monthly deposit,,,25000.0,0,contribution,963467,11349766
2023-05-02,SIP,,monthly deposit,,,25000.0,0,contribution,988467,11523449
2023-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,1013467,11835118
2023-07-03,SIP,,monthly deposit,,,25000.0,0,contribution,1038467,11763396
2023-08-01,SIP,,monthly deposit,,,25000.0,0,contribution,1063467,11833138
2023-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,1088467,11881986
2023-10-02,SIP,,monthly deposit,,,25000.0,0,contribution,1113467,11962362
2023-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,1138467,11732390
2023-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,1163467,11987091
2024-01-02,SIP,,monthly deposit,,,25000.0,0,contribution,1188467,12797483
